IdPassageiro,Idade
786,25.0
787,18.0
788,8.0
789,1.0
790,46.0
792,16.0
795,25.0
796,39.0
797,49.0
798,31.0
799,30.0
800,30.0
801,34.0
802,31.0
803,11.0
804,0.42
805,27.0
806,31.0
807,39.0
808,18.0
809,39.0
810,33.0
811,26.0
812,39.0
813,35.0
814,6.0
815,30.5
817,23.0
818,31.0
819,43.0
820,10.0
821,52.0
822,27.0
823,38.0
824,27.0
825,2.0
828,1.0
830,62.0
831,15.0
832,0.83
834,23.0
835,18.0
836,39.0
837,21.0
839,32.0
841,20.0
842,16.0
843,30.0
844,34.5
845,17.0
846,42.0
848,35.0
849,28.0
851,4.0
852,74.0
853,9.0
854,16.0
855,44.0
856,18.0
857,45.0
858,51.0
859,24.0
861,41.0
862,21.0
863,48.0
865,24.0
866,42.0
867,27.0
868,31.0
870,4.0
871,26.0
872,47.0
873,33.0
874,47.0
875,28.0
876,15.0
877,20.0
878,19.0
880,56.0
881,25.0
882,33.0
883,22.0
884,28.0
885,25.0
886,39.0
887,27.0
888,19.0
890,26.0
891,32.0
892,34.5
893,47.0
894,62.0
895,27.0
896,22.0
897,14.0
898,30.0
899,26.0
900,18.0
901,21.0
903,46.0
904,23.0
905,63.0
906,47.0
907,24.0
908,35.0
909,21.0
910,27.0
911,45.0
912,55.0
913,9.0
915,21.0
916,48.0
917,50.0
918,22.0
919,22.5
920,41.0
922,50.0
923,24.0
924,33.0
926,30.0
927,18.5
929,21.0
930,25.0
932,39.0
934,41.0
935,30.0
936,45.0
937,25.0
938,45.0
940,60.0
941,36.0
942,24.0
943,27.0
944,20.0
945,28.0
947,10.0
948,35.0
949,25.0
951,36.0
952,17.0
953,32.0
954,18.0
955,22.0
956,13.0
958,18.0
959,47.0
960,31.0
961,60.0
962,24.0
963,21.0
964,29.0
965,28.5
966,35.0
967,32.5
969,55.0
970,30.0
971,24.0
972,6.0
973,67.0
974,49.0
978,27.0
979,18.0
981,2.0
982,22.0
984,27.0
986,25.0
987,25.0
988,76.0
989,29.0
990,20.0
991,33.0
992,43.0
993,27.0
995,26.0
996,16.0
997,28.0
998,21.0
1001,18.5
1002,41.0
1004,36.0
1005,18.5
1006,63.0
1007,18.0
1009,1.0
1010,36.0
1011,29.0
1012,12.0
1014,35.0
1015,28.0
1017,17.0
1018,22.0
1020,42.0
1021,24.0
1022,32.0
1023,53.0
1026,43.0
1027,24.0
1028,26.5
1029,26.0
1030,23.0
1031,40.0
1032,10.0
1033,33.0
1034,61.0
1035,28.0
1036,42.0
1037,31.0
1039,22.0
1041,30.0
1042,23.0
1044,60.5
1045,36.0
1046,13.0
1047,24.0
1048,29.0
1049,23.0
1050,42.0
1051,26.0
1053,7.0
1054,26.0
1056,41.0
1057,26.0
1058,48.0
1059,18.0
1061,22.0
1063,27.0
1064,23.0
1066,40.0
1067,15.0
1068,20.0
1069,54.0
1070,36.0
1071,64.0
1072,30.0
1073,37.0
1074,18.0
1076,27.0
1077,40.0
1078,21.0
1079,17.0
1081,40.0
1082,34.0
1084,11.5
1085,61.0
1086,8.0
1087,33.0
1088,6.0
1089,18.0
1090,23.0
1093,0.33
1094,47.0
1095,8.0
1096,25.0
1098,35.0
1099,24.0
1100,33.0
1101,25.0
1102,32.0
1104,17.0
1105,60.0
1106,38.0
1107,42.0
1109,57.0
1110,50.0
1112,30.0
1113,21.0
1114,22.0
1115,21.0
1116,53.0
1118,23.0
1120,40.5
1121,36.0
1122,14.0
1123,21.0
1124,21.0
1126,39.0
1127,20.0
1128,64.0
1129,20.0
1130,18.0
1131,48.0
1132,55.0
1133,45.0
1134,45.0
1137,41.0
1138,22.0
1139,42.0
1140,29.0
1142,0.92
1143,20.0
1144,27.0
1145,24.0
1146,32.5
1149,28.0
1150,19.0
1151,21.0
1152,36.5
1153,21.0
1154,29.0
1155,1.0
1156,30.0
1161,17.0
1162,46.0
1164,26.0
1167,20.0
1168,28.0
1169,40.0
1170,30.0
1171,22.0
1172,23.0
1173,0.75
1175,9.0
1176,2.0
1177,36.0
1179,24.0
1183,30.0
1185,53.0
1186,36.0
1187,26.0
1188,1.0
1190,30.0
1191,29.0
1192,32.0
1194,43.0
1195,24.0
1197,64.0
1198,30.0
1199,0.83
1200,55.0
1201,45.0
1202,18.0
1203,22.0
1205,37.0
1206,55.0
1207,17.0
1208,57.0
1209,19.0
1210,27.0
1211,22.0
1212,26.0
1213,25.0
1214,26.0
1215,33.0
1216,39.0
1217,23.0
1218,12.0
1219,46.0
1220,29.0
1221,21.0
1222,48.0
1223,39.0
1225,19.0
1226,27.0
1227,30.0
1228,32.0
1229,39.0
1230,25.0
1232,18.0
1233,32.0
1235,58.0
1237,16.0
1238,26.0
1239,38.0
1240,24.0
1241,31.0
1242,45.0
1243,25.0
1244,18.0
1245,49.0
1246,0.17
1247,50.0
1248,59.0
1251,30.0
1252,14.5
1253,24.0
1254,31.0
1255,27.0
1256,25.0
1259,22.0
1260,45.0
1261,29.0
1262,21.0
1263,31.0
1264,49.0
1265,44.0
1266,54.0
1267,45.0
1268,22.0
1269,21.0
1270,55.0
1271,5.0
1273,26.0
1275,19.0
1277,24.0
1278,24.0
1279,57.0
1280,21.0
1281,6.0
1282,23.0
1283,51.0
1284,13.0
1285,47.0
1286,29.0
1287,18.0
1288,24.0
1289,48.0
1290,22.0
1291,31.0
1292,30.0
1293,38.0
1294,22.0
1295,17.0
1296,43.0
1297,20.0
1298,23.0
1299,50.0
1301,3.0
1303,37.0
1304,28.0
1306,39.0
1307,38.5
6,31.662800763796305
18,32.66731548445952
20,27.016542291222812
27,26.119908732251325
29,25.16242864035062
30,29.090113615926896
32,38.544484705127026
33,25.163531153836743
37,26.11987289202964
43,26.114184536845052
46,29.088797767787884
47,30.729304091497482
48,25.163531153836743
49,24.24975120808206
56,42.4445707057773
65,39.53502454396508
66,0.9751343320132477
77,29.090113615926896
78,29.088797767787884
83,25.16321115185741
88,29.088797767787884
96,29.088797767787884
102,29.090113615926896
108,29.091144448969644
110,24.150176494253333
122,29.088797767787884
127,31.668844961181904
129,5.8531758787204
141,30.38260081569043
155,29.09509114004806
159,29.083571068792146
160,-0.9089336323119568
167,44.892054789408114
169,42.52627787783312
177,2.1170302703685238
181,4.029801623141616
182,29.673892963840927
186,42.320836607102706
187,31.625937650468973
197,31.668844961181904
199,25.163531153836743
202,25.01124061119299
215,30.795437833892528
224,29.090113615926896
230,7.055765525822096
236,22.587750653500468
241,18.679498242710686
242,24.22399028415232
251,29.09562447668028
257,39.99236621242006
261,31.668844961181904
265,25.163531153836743
271,42.482970943297005
275,25.163531153836743
278,32.778249503960886
285,42.52563787387445
296,39.53502454396508
299,42.48723763635475
301,25.163531153836743
302,29.78976322181306
304,28.745035555648798
305,29.088797767787884
307,32.32005301379051
325,25.01124061119299
331,23.284449414467897
335,41.63024529022411
336,29.090113615926896
348,29.043330441240307
352,42.448837398835046
355,26.119908732251325
359,25.16242864035062
360,25.16242864035062
365,30.729304091497482
368,27.016506451001128
369,25.163531153836743
376,39.09360810165878
385,29.090113615926896
389,31.66902245561311
410,7.055765525822096
411,29.090113615926896
412,31.676454181581086
414,32.778249503960886
416,29.985431326759375
421,26.114184536845052
426,29.09562447668028
429,31.668844961181904
432,29.043330441240307
445,29.088264431155665
452,28.11370083817605
455,29.088797767787884
458,42.328169607144716
460,31.668844961181904
465,29.088797767787884
467,32.778249503960886
469,31.669058295834795
471,29.09562447668028
476,42.30376983487172
482,32.778249503960886
486,7.055765525822096
491,28.11370083817605
496,26.058184190462153
498,29.028637395673684
503,25.16456198687949
508,42.52094451151093
512,29.088797767787884
518,31.528897428887873
523,26.119908732251325
525,26.11987289202964
528,40.854978366892794
532,26.11987289202964
534,30.32190710694401
539,29.033757427342977
548,29.68402635985307
553,31.66816911700156
558,37.83001815786857
561,31.668844961181904
564,29.088797767787884
565,22.58348396044272
569,26.11987289202964
574,25.163531153836743
579,26.08141062214427
585,26.107215320404535
590,29.088797767787884
594,14.121909080953266
597,25.991333954804567
599,26.119908732251325
602,29.090113615926896
603,42.38569034158042
612,29.097331153903376
613,24.22399028415232
614,31.668844961181904
630,31.668987468730037
634,42.74750591287718
640,28.146696882268817
644,28.675391050714097
649,29.093064460845632
651,29.090113615926896
654,25.162855309656393
657,29.090113615926896
668,29.091144448969644
670,42.326996266553834
675,32.778249503960886
681,25.16022446671699
693,28.675391050714097
698,25.16367366138487
710,0.9751343320132477
712,42.52094451151093
719,31.602711218786858
728,25.163637821163185
733,32.778249503960886
739,29.090113615926896
740,29.090113615926896
741,42.49150432941249
761,29.033757427342977
767,48.93779740685018
769,30.655490301598498
774,26.119908732251325
777,31.668844961181904
779,31.668951628508353
784,31.518479602142705
791,31.668844961181904
793,4.029801623141616
794,39.5096377202715
816,42.74750591287718
826,31.675671670074294
827,28.675391050714097
829,31.668844961181904
833,26.11987289202964
838,29.088797767787884
840,39.5181352661653
847,25.01124061119299
850,39.03444272236565
860,26.11987289202964
864,4.029801623141616
869,29.076424357920423
879,29.090113615926896
889,10.537040614091332
902,29.090113615926896
914,43.373773639535784
921,24.24975120808206
925,32.41511316111419
928,22.58348396044272
931,28.675391050714097
933,42.52094451151093
939,31.668844961181904
946,29.66937709590861
950,28.146696882268817
957,33.49568195450709
968,29.088797767787884
975,29.090113615926896
976,35.26435862297976
977,25.184812050055847
980,32.5654785201534
983,29.091144448969644
985,29.088797767787884
994,31.668844961181904
999,31.668844961181904
1000,29.083144399486372
1003,25.163281978962168
1008,26.126628773817274
1013,30.795437833892528
1016,31.668844961181904
1019,23.284449414467897
1024,36.7058141164472
1025,25.253221646527894
1038,42.304943175462604
1040,42.52094451151093
1043,26.114184536845052
1052,25.16367366138487
1055,29.09775782320915
1060,40.43165810293657
1062,29.093064460845632
1065,26.11987289202964
1075,31.668844961181904
1080,4.029801623141616
1083,42.52563787387445
1091,29.984897990127156
1092,25.097397411441698
1097,39.551912968426244
1103,29.097331153903376
1108,25.16242864035062
1111,29.088797767787884
1117,30.38260081569043
1119,25.163531153836743
1125,31.667742447695787
1135,29.090184443031653
1136,5.598305358637759
1141,26.08144560902734
1147,29.093064460845632
1148,31.668844961181904
1157,29.090113615926896
1158,42.74750591287718
1159,29.093064460845632
1160,22.58348396044272
1163,31.668844961181904
1165,24.22399028415232
1166,26.119908732251325
1174,25.163531153836743
1178,29.09562447668028
1180,26.11987289202964
1181,29.088797767787884
1182,42.409583822703794
1184,26.11987289202964
1189,24.24975120808206
1193,29.673928804062612
1196,25.163531153836743
1204,29.09285112619274
1224,26.119908732251325
1231,0.199698648524695
1234,43.145851379598206
1236,3.957427610460023
1249,29.09025527013641
1250,31.668844961181904
1257,44.04248493856969
1258,25.184777063172774
1272,31.668844961181904
1274,29.930390986314467
1276,32.66838215772396
1300,25.16378032871131
1302,25.163531153836743
1305,29.088797767787884
1308,29.088797767787884
1309,0.9144406232668345
